,link,title,rating,price,category
36,https://m.media-amazon.com/images/I/41h8JR2M7RL._AC_UL320_.jpg,"Swiss Beauty Sculpt Lift Contour Palette, Shade-02, 14gm",4.5,224,beauty
37,https://m.media-amazon.com/images/I/51nHlUXITaL._AC_UL320_.jpg,Love Beauty & Planet Murumuru Butter & Rose Body Lotion - 190ml,3.0,255,beauty
38,https://m.media-amazon.com/images/I/51dCPHUcsyL._AC_UL320_.jpg,"SWISS BEAUTY Matte Flawless Finish Lightweight Foundation Liquid, White Ivory, 40gm",4.0,209,beauty
39,https://m.media-amazon.com/images/I/51xf9PcJCOL._AC_UL320_.jpg,"Love Beauty & Planet Moisturising Body Wash 400ml, with Murumuru Butter & Rose, Sulfate Free, Paraben Free- Liquid Shower Gel",4.3,350,beauty
40,https://m.media-amazon.com/images/I/61s20y1bwzL._AC_UL320_.jpg,"Swiss Beauty Primer Mousse Foundation Weightless Smooth & Velvet Touch, Face Makeup, White, 40Ml",4.1,349,beauty
41,https://m.media-amazon.com/images/I/51JTTGbgxdL._AC_UL320_.jpg,"Love Beauty & Planet Onion Black Seed & Patchouli Hair Oil, 200ml",4.0,391.,beauty
42,https://m.media-amazon.com/images/I/61SxIOefZBL._AC_UL320_.jpg,Swiss Beauty Bake It Away Translucent Loose Powder - 28g (Transparent),4.2,224,beauty
43,https://m.media-amazon.com/images/I/41ed1XCjY2L._AC_UL320_.jpg,"Swiss Beauty Powder Brush Foudnation Blender Brush, Silver",4.3,187,beauty
44,https://m.media-amazon.com/images/I/61qSHABmCfL._AC_UL320_.jpg,"Swiss Beauty mini Baked Shimmer Blusher and Highlighter Palette for Face makeup| Multicolor-5 , 7 gm |",4.2,280,beauty
45,https://m.media-amazon.com/images/I/614EZxBtuQL._AC_UL320_.jpg,"Swiss Beauty Professional Matte Blusher, Face Makeup, Bliss Peach, 4gm",4.0,211,beauty
46,https://m.media-amazon.com/images/I/5101qjYR2EL._AC_UL320_.jpg,"Swiss Beauty Ultimate 9 Pigmented Colors Eyeshadow Palette Long Wearing And Easily Blendable Eye Makeup Palette Matte, Shimmery And Metallic Finish - Multicolor-01, 6G",4.2,215,beauty
47,https://m.media-amazon.com/images/I/51HHkNgjcgL._AC_UL320_.jpg,"Love Beauty & Planet Volumizing Shampoo, With Natural Coconut Water & Mimosa For Thin & Fine Hair, No Parabens, No Silicones, 400 ml",4.2,487.,beauty
48,https://m.media-amazon.com/images/I/51sLMnuHRyL._AC_UL320_.jpg,Love Beauty & Planet Cherry Blossom & Tea Rose Body Lotion - 190ml,(₹136.84/100 ml),260,beauty
49,https://m.media-amazon.com/images/I/41kO15kPBsL._AC_UL320_.jpg,"Swiss Beauty Ultra Smooth Matte Liquid Lipstick, Cookie, 6ml - Smooth Lip Color, Weightless Finish, Silky Matte Finish, Iconic Lip, Matte Finish, Matte Lipstick, Liquid Lipstick",3.8,159,beauty
50,https://m.media-amazon.com/images/I/51KYEwx32iL._AC_UL320_.jpg,"Love Beauty & Planet Curry Leaves, Biotin & Mandarin Paraben Free conditioner for long & strong hair, 400ml",5.0,595,beauty
51,https://m.media-amazon.com/images/I/41F8Moly67L._AC_UL320_.jpg,"Swiss Beauty High Coverage Waterproof Base Foundation with SPF | Lightweight Liquid Foundation with Natural Finish| Rose Blush, 55gm|",3.8,310,beauty
52,https://m.media-amazon.com/images/I/514kAKihOdL._AC_UL320_.jpg,"Swiss Beauty Non Tranfer Lipstick Long Stay & Smooth Matte Finish, Bronze, 3g",4.1,295,beauty
53,https://m.media-amazon.com/images/I/51HBExWRCpL._AC_UL320_.jpg,Swiss Beauty Two in One Lip Liner & Lip Filler (Natural Pink 01),3.2,206,beauty
54,https://m.media-amazon.com/images/I/41jlzeJmudL._AC_UL320_.jpg,"Swiss Beauty Waterproof Eyebrow Pencil with Brush | Smudge proof Eyebrow Definer Pencil | Shade - Black, 1.5g|",4.2,62,beauty
55,https://m.media-amazon.com/images/I/61S9XmpMbwL._AC_UL320_.jpg,"Swiss Beauty All about Lip Palette with 10 Pigmented colors |Creamy Matte Finish Lip Colors Lipstick |Travel Friendly Lip Palette | Multicolor-02 , 12 gm |",4.1,310,beauty
56,https://m.media-amazon.com/images/I/51KeuFRqkQL._AC_UL320_.jpg,"Swiss Beauty Pure Matte Lipstick | Long Lasting, Hydrating & Lightweight Lipstick | Lust On , 3.8gm|",3.8,195,beauty
57,https://m.media-amazon.com/images/I/41s5wVGxWnL._AC_UL320_.jpg,Pond'S Bright Beauty Spot-Less Fairness & Germ Removal Facewash 200 G,4.4,230,beauty
58,https://m.media-amazon.com/images/I/51+GE+lebgL._AC_UL320_.jpg,"Swiss Beauty glow Baked Blusher Palette with blendable and buildable shimmery Shades |  Shade -02, 24gm|",4.1,552,beauty
59,https://m.media-amazon.com/images/I/51Zw7AEjE6L._AC_UL320_.jpg,"Blue Heaven Powder Matte -Brick Beauty, B01, 3.5 gm",3.9,115,beauty
60,https://m.media-amazon.com/images/I/61COKaWc9nL._AC_UL320_.jpg,"Swiss Beauty Perfect Match Panstick Foundation | Lightweight, Full Coverage Foundation with Natural and Dewy Finish for Face makeup| Easy to apply with Hand stick applicator | Shade-02 , 7.5gm |",3.9,224,beauty
61,https://m.media-amazon.com/images/I/51BuwGwvaWL._AC_UL320_.jpg,Love Beauty & Planet Coconut Water & Mimosa Flower Body Lotion - 190ml,(₹141.83/100 ml),269.,beauty
62,https://m.media-amazon.com/images/I/51tSeaMCQPL._AC_UL320_.jpg,FAE Beauty Cold Coffee Lip Balm I Intensely Moisturizing I Spf 20+ | Hydrating and Nourishing Lip Balm I Enriched with Cocoa Seed Butter and Vitamin E ( 10gm) (Kaafi Kool),5.0,209,beauty
63,https://m.media-amazon.com/images/I/51enKUy3PPL._AC_UL320_.jpg,"Swiss Beauty Soft Matte Lip Cream weightless lipstick | Long Lasting Lipstick with velvety finish | Shade- 05, 6ml",3.9,199,beauty
64,https://m.media-amazon.com/images/I/61TED04B1bL._AC_UL320_.jpg,Beauty Garage Professional Keratin Smooth Daily Shampoo 300ml with Keratin Smooth Daily Conditioner 300ml,4.2,"1,869",beauty
65,https://m.media-amazon.com/images/I/61VC6yCMPNL._AC_UL320_.jpg,Pond's Gold Beauty Day Cream 50 g,3.8,272,beauty
66,https://m.media-amazon.com/images/I/81F2l4G2RxL._AC_UL320_.jpg,"Swiss Beauty Cleansing Active Bubble Mask, 30ml",4.1,74,beauty
67,https://m.media-amazon.com/images/I/51nLuk1RmFL._AC_UL320_.jpg,"Swiss Beauty Instant Dip & Twist Nail Remover, Strawberry Fresh, 80 Ml",4.2,93,beauty
68,https://m.media-amazon.com/images/I/71utU+Vs8AL._AC_UL320_.jpg,"Swiss Beauty Ultra Blush Palette with highly blendable shades | Pigmented Blusher for a Natural Flush | Shade-2, 16gm|",4.1,356,beauty
69,https://m.media-amazon.com/images/I/61fP6uiT5nL._AC_UL320_.jpg,"Swiss Beauty Primer Mattifying Setting Powder with SPF 15 |Translucent powder for Face makeup| Shade-01, 10G |",4.0,276,beauty
70,https://m.media-amazon.com/images/I/41SLWu9TfsL._AC_UL320_.jpg,"Dove Beauty Moisture Facial Cleansing Foam Beauty Serum For Soft & Smooth Nourished Skin, 50 g",4.3,190,beauty
71,https://m.media-amazon.com/images/I/512YKItFGcL._AC_UL320_.jpg,"Swiss Beauty mini Baked Shimmer Blusher and Highlighter Palette for Face makeup| Multicolor-2 , 7 gm |",4.1,279,beauty
72,https://m.media-amazon.com/images/I/61gWtAKtWyL._AC_UL320_.jpg,"SWISS BEAUTY Daily Essentials Makeup Remover Cleansing Wet Wipes, Natural-Chamomile, 100 g",4.0,85,beauty
73,https://m.media-amazon.com/images/I/51O0ggOE-LL._AC_UL320_.jpg,"SWISS BEAUTY Ultra Fine Loose Finish Powder, Transparent, 8g",4.1,359,beauty
74,https://m.media-amazon.com/images/I/61lijZxljML._AC_UL320_.jpg,"Wolpin Beauty Blender 7 Pcs with Storage Box Makeup Sponges, Air Cushion Powder Puff Beauty Tools Women Professional Cosmetic Puff with Box Powder Sponge Dry & Wet Use (Multicolor)",5.0,159,beauty
75,https://m.media-amazon.com/images/I/514aykIfUxL._AC_UL320_.jpg,Swiss Beauty Kiss Kandy Lip Balm (03),,94,beauty
76,https://m.media-amazon.com/images/I/51opNM-j5cL._AC_UL320_.jpg,"Swiss Beauty Soft Kohl Kajal Eyeliner Pencil, Eye Makeup, Sb-E1, Black, 1.2G - Smudge Proof And Waterproof, Black Kajal, Kohl Kajal, Eye Makeup Kajal, Long Lasting, Light Weight",3.7,187,beauty
77,https://m.media-amazon.com/images/I/51CFvABOo4L._AC_UL320_.jpg,"Original WHITENING Beauty Cream with Avocado and Aloe vera gel for Acne ,pimple, dark spot,dark circle ,freckle & wrinkle (men and women)- 30gms - Pack of 1",4.7,295,beauty
78,https://m.media-amazon.com/images/I/51Ijcp8IbEL._AC_UL320_.jpg,FAE Beauty Rose Lip Balm I Intensely Moisturizing I Spf 20+ | Hydrating and Nourishing Lip Balm I Enriched with Cocoa Seed Butter and Vitamin E ( 10gm) (Roz Rose - Rose Milk Falooda),Save 5%,209,beauty
79,https://m.media-amazon.com/images/I/51TfLKO00IL._AC_UL320_.jpg,"Swiss Beauty Hydra Anti wrinkle Eye Serum Patch| Treats dark circles, fine lines and wrinkles | Enriched with Collagen and aloe Vera extract | Shade -Gold, 60 pcs|",4.1,284,beauty
80,https://m.media-amazon.com/images/I/51Un+Y8aCxL._AC_UL320_.jpg,"Love Beauty And Planet Rice Water & Angelica Seed Oil Silicone-Free Curl & Waves Conditioner, No Parabens, No Dyes, Angelica Essential Oil, 400ml",5.0,595,beauty
81,https://m.media-amazon.com/images/I/81AZ8HNIxtL._AC_UL320_.jpg,"HUDACRUSH BEAUTY Mini Lipsticks Combo Pack of 4 Liquid Matte Lipstick Set, Red Edition",5.0,149,beauty
82,https://m.media-amazon.com/images/I/41zctmg5UJL._AC_UL320_.jpg,"Loreal L'Oreal Paris Glycolic Bright Skin Brightening Serum, 15ml",4.1,300,beauty
83,https://m.media-amazon.com/images/I/41s5wVGxWnL._AC_UL320_.jpg,"POND'S Bright Beauty Spot-less Glow Face Wash With Vitamins, Removes Dead Skin Cells & Dark Spots, Double Brightness Action, All Skin Types, 100g",4.2,140,beauty
84,https://m.media-amazon.com/images/I/41N2y292qrL._AC_UL320_.jpg,"Beauty of Joseon SPF 50 Relief Sun Cream, 50ml, Set of 1",4.6,"1,500",beauty
85,https://m.media-amazon.com/images/I/61Kred2MYEL._AC_UL320_.jpg,"The Moms Co. Natural Vita Rich Under Eye Cream for Dark Circles for Women & Men | Cooling Massage Roller to Reduce Dark Circles, Puffiness with Coffee Oil, Vitamins E & B3-15 gm",3.8,318,beauty
86,https://m.media-amazon.com/images/I/61kV9Fax4VL._AC_UL320_.jpg,"Beauty Glazed Makeup Sponge Set Beauty Blender with Egg Case, Soft Sponge For Liquid Foundation, Creams, and Powders, Latex Free Wet and Dry Makeup ( 4 Big + 3 Mini-7 Pcs set) (MULTICOLOUR) With Dabba",4.0,205,beauty
87,https://m.media-amazon.com/images/I/51q+lHKxt4L._AC_UL320_.jpg,The Original Beauty Blender,4.0,122,beauty
88,https://m.media-amazon.com/images/I/51YzElQbQsL._AC_UL320_.jpg,"Love Beauty & Planet Coconut Water and Mimosa Flower Paraben Free Volume and Bounty Conditioner, 200ml",4.2,220,beauty
89,https://m.media-amazon.com/images/I/51hHwA8H3KL._AC_UL320_.jpg,Face Beauty Whitening Cream for Skin Lighteningfor (Unisex) - 30gms,(₹500/100 g),275,beauty
90,https://m.media-amazon.com/images/I/212EMFH5YNS._AC_UL320_.jpg,"SWISS BEAUTY High Coverage Waterproof Base Matte Liquid Foundation (Medium-Beige, 60 g)",3.8,333,beauty
91,https://m.media-amazon.com/images/I/51p3ue4iyEL._AC_UL320_.jpg,"Swiss Beauty Pro Blusher & Highlighter Palette for Face makeup | Shade-04 , 18g",4.2,216,beauty
92,https://m.media-amazon.com/images/I/61KKkb-dsrL._AC_UL320_.jpg,"Swiss Beauty Drop & Glow Liquid Highlighter For Face makeup | illuminating Liquid Highlighter with Dewy finish | Shade -Light Pink, 18ml|",3.9,319,beauty
93,https://m.media-amazon.com/images/I/41OWxDBkgVL._AC_UL320_.jpg,"Swiss Beauty Compact Powder Brush, Silver",4.3,254,beauty
94,https://m.media-amazon.com/images/I/51DIX2hoAgL._AC_UL320_.jpg,Original Beauty fairness Whitening Cream big jar for Skin Lighteningfor (Unisex) - 55gms,(₹707.27/100 g),389,beauty
95,https://m.media-amazon.com/images/I/51FWF0DVBaL._AC_UL320_.jpg,"POND'S Bright Beauty Day Cream 35 g, Non-Oily, Mattifying Daily Face Moisturizer, SPF 15 - With Niacinamide to Lighten Dark Spots for Glowing Skin",4.2,123,beauty
96,https://m.media-amazon.com/images/I/41PgdgqlIcL._AC_UL320_.jpg,SWISS BEAUTY Black Sharpener Lip Crayon S-18,4.1,65,beauty
